battery_no,cycle_idx,num_cycles,cycle_frac,cycle_label,qnom_init_ah,soh_true,qnom_start_frac,rmse_ekf,rmse_v,residual_mean,residual_std,residual_late_mean,residual_end_minus_mid,residual_abs_area,residual_peak_abs,cluster_raw,cluster_shape
44,2,3,0.666666666666667,middle,1.07277289948017,1.02538011589687,0.459516865375299,0.253863861448723,0.194185912586391,-0.215962612003449,0.137426886117021,-0.0948772713303225,0.353659814215288,0.218300707395165,0.439121335894787,2,1
44,3,3,1,last,1.07277289948017,1.02538011589687,0.460063911461795,0.261133206094393,0.195711078914005,-0.223625840039849,0.138997284087122,-0.0949612593410329,0.365975343877546,0.22580728715036,0.448412643546976,2,1
46,1,3,0.333333333333333,first,1.07227299947453,1.02585815416322,1,0.0563748695207412,0.112178194644603,0.0511208586535827,0.0239007755718974,0.0739566990416659,0.0129224076847796,0.0511531272026439,0.0758531144330697,1,2
46,2,3,0.666666666666667,middle,1.07227299947453,1.02585815416322,0.458779299457981,0.25319117593536,0.193840112376672,-0.216343889962447,0.135541560754177,-0.0949149087644378,0.349916182707563,0.218910199736544,0.436065345162858,2,1
46,3,3,1,last,1.07227299947453,1.02585815416322,0.453388088967466,0.269429261950252,0.198525491674167,-0.23223537841995,0.140947865757353,-0.0949425481985659,0.376465668020421,0.234371732280562,0.455902604934491,2,1
48,1,3,0.333333333333333,first,1.06789839991714,1.03006053767414,1,0.0497175057661992,0.11230518313705,0.045289285689639,0.0207429123639843,0.0626449381824146,0.00650314200606222,0.0453299528868014,0.066832865801269,1,2
48,2,3,0.666666666666667,middle,1.06789839991714,1.03006053767414,0.464429629467201,0.257196382921489,0.196048291754345,-0.220321728220229,0.136787449789389,-0.094945645319235,0.360789068993487,0.222275047292236,0.448035623687564,2,1
48,3,3,1,last,1.06789839991714,1.03006053767414,0.461981990151248,0.258132057348685,0.193819147423049,-0.22223566763149,0.135474043900936,-0.0948862003830529,0.357392097603131,0.224238449483093,0.442948156031623,2,1
50,1,3,0.333333333333333,first,1.07046849946615,1.02758745404332,1,0.0546397511912586,0.111995562669098,0.0493680141747612,0.0235178872497829,0.0719839904516125,0.0118492951542673,0.0493921829734904,0.0733519081464011,1,2
50,2,3,0.666666666666667,middle,1.07046849946615,1.02758745404332,0.458162659556478,0.257095390895552,0.19632870496133,-0.221277568105926,0.135029140784306,-0.0949466587461123,0.359344951156703,0.22324641373356,0.440726808976225,2,1
