scenario_name,battery_no,num_cycles_evaluated,mean_rmse_ekf,mean_rmse_gpr,mean_rmse_ekf_late,mean_rmse_gpr_late,num_gpr_improved_vs_ekf,num_gpr_worse_vs_ekf,gpr_improve_rate_vs_ekf,gpr_failure_rate_vs_ekf,num_qnom_clamped_cycles
high_noise,59,3,0.0448489516055568,0.047046244339391,NaN,NaN,0,3,0,1,3
high_noise,61,3,0.031786967062984,0.0396433407005249,NaN,NaN,0,3,0,1,3
high_noise,63,3,0.0373397656393731,0.0436040510031717,NaN,NaN,0,3,0,1,3
high_noise,65,3,0.0361849675304209,0.0402338756304393,NaN,NaN,0,3,0,1,3
high_noise,67,3,0.034320368790105,0.0379884893273991,NaN,NaN,0,3,0,1,3
high_noise,69,3,0.0377184492311712,0.0401026258283328,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
high_noise,71,3,0.0283070116568969,0.0340204857815496,NaN,NaN,0,3,0,1,3
high_noise,73,3,0.0339218447261655,0.039140680496255,NaN,NaN,0,3,0,1,3
high_noise,75,3,0.034709882689626,0.0363860988650629,NaN,NaN,0,3,0,1,3
high_noise,77,3,0.0381640702440829,0.0377443585544045,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
high_noise,79,3,0.038082421816013,0.039093063719057,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
high_noise,81,3,0.0352292231779118,0.0351130412110318,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
high_noise,83,3,0.0322308953761678,0.0336434114179619,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
high_noise,84,3,0.0253476337379626,0.021060772976437,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,1,3,0.0253188971731903,0.0360693139768525,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,3,3,0.0285819184117631,0.0389900611783039,NaN,NaN,0,3,0,1,3
init_soc_plus5,5,3,0.0325416107543984,0.040140191645739,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,7,3,0.0276153396151677,0.038529521778007,NaN,NaN,0,3,0,1,3
init_soc_plus5,11,3,0.0344293486075596,0.0384236219624145,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,13,3,0.0403607146415939,0.0426868658910728,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,17,3,0.036121091204001,0.0411169834388975,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,20,3,0.0382536129754674,0.0411339140796747,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,22,3,0.0486179916415412,0.0469956454766097,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,24,3,0.0433046551483794,0.0439391329104328,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,26,3,0.0412951611346549,0.0463136240128775,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,28,3,0.0393732510087553,0.0463364127023742,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,30,3,0.0412569727144063,0.0445853954802168,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,32,3,0.0424242530966653,0.0447330731684291,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,34,3,0.0437788862915554,0.0445725661539985,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,36,3,0.0495210702222162,0.0487277730389775,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,38,3,0.0562926378744275,0.0483577846945518,NaN,NaN,3,0,1,0,3
init_soc_plus5,40,3,0.0591735281652243,0.0514092946250727,NaN,NaN,3,0,1,0,3
init_soc_plus5,43,3,0.0501372866662671,0.0446822424253263,NaN,NaN,3,0,1,0,3
init_soc_plus5,45,3,0.0490122095605839,0.043899893734306,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,47,3,0.0506792403363606,0.0435876143389761,NaN,NaN,3,0,1,0,3
init_soc_plus5,49,3,0.0403324744188352,0.0423275065786889,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,51,3,0.0404643536888009,0.0428419111142514,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
init_soc_plus5,53,3,0.0491276456601206,0.0469345683089136,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,55,3,0.0476779780650256,0.0417242014689642,NaN,NaN,3,0,1,0,3
init_soc_plus5,57,3,0.0520698525267739,0.0487767226474105,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,59,3,0.0547259371793029,0.0479866521717565,NaN,NaN,3,0,1,0,3
init_soc_plus5,61,3,0.0424790599773397,0.0406196385726696,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
init_soc_plus5,63,3,0.0478118251590909,0.0455017655539674,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
