scenario_name,battery_no,cycle_idx,phase,soh_proxy,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,res_energy_ekf,res_energy_gpr,late_peak_ekf,late_t_ekf,late_peak_gpr,late_t_gpr,mid_valley_ekf,mid_t_ekf,mid_valley_gpr,mid_t_gpr,rmse_v
baseline,36,2,MIDDLE,0.97,1,0,1,1,0,0.0429758990603965,0.0480154399195588,0.00503954085916229,0.00185052269477204,0.00227163597011392,0.0633459182707959,0.863636363636364,0.0878963505385444,0.977272727272727,0.010973293179722,0.159090909090909,-0.019026706820278,0.159090909090909,0.110484804615219
baseline,36,3,LAST,0.94,1,0,1,1,0,0.0229730280858413,0.0356123314428043,0.012639303356963,0.000530338862665706,0.00126220332335022,0.0388678871436982,0.818181818181818,0.0602602760813213,0.954545454545455,0.00326983532518521,0.272727272727273,-0.0267301646748148,0.272727272727273,0.104796940045216
baseline,38,1,FIRST,1,1,0,1,1,0,0.0487558435257245,0.0587190962411327,0.00996325271540822,0.00237594054010634,0.00341496695571302,0.0730523561512797,0.886363636363636,0.100291878734863,0.931818181818182,0.00858240696093543,0.159090909090909,-0.0214175930390646,0.159090909090909,0.109722386087103
baseline,38,2,MIDDLE,0.97,1,0,1,1,0,0.0398792098768539,0.0466522199779869,0.00677301010113296,0.00160139426131126,0.00216101523556845,0.0598624710634142,0.772727272727273,0.0806376206283562,0.931818181818182,0.0058899477760499,0.159090909090909,-0.0241100522239501,0.159090909090909,0.105932145019472
baseline,38,3,LAST,0.94,1,0,1,1,0,0.0217439980665133,0.032015276159101,0.0102712780925878,0.000479218661176968,0.00102888120493508,0.0331955912065302,0.772727272727273,0.0538983917034418,0.931818181818182,0.00762509691570673,0.25,-0.0223749030842932,0.25,0.108535622788971
baseline,40,1,FIRST,1,1,0,1,1,0,0.0606114771110112,0.0632531933096615,0.00264171619865033,0.00365531432200463,0.00393154247489522,0.0936791482176512,0.977272727272727,0.114883080136723,0.977272727272727,0.0132621228299699,0.159090909090909,-0.0167378771700301,0.159090909090909,0.115070033428393
baseline,40,2,MIDDLE,0.97,1,0,1,1,0,0.0415989125329956,0.0490645672505852,0.00746565471758961,0.00173483671460397,0.00238112576527309,0.061166442024667,0.909090909090909,0.0871615945452195,0.954545454545455,0.0109248231880172,0.159090909090909,-0.0190751768119828,0.159090909090909,0.102718752224927
baseline,40,3,LAST,0.94,1,0,1,1,0,0.029405866277956,0.0353692482366658,0.00596338195870979,0.000875781183255492,0.00124657016057603,0.0428930687712555,0.795454545454545,0.0603692431233285,0.931818181818182,0.00740066184516625,0.159090909090909,-0.0225993381548338,0.159090909090909,0.106918434295909
baseline,43,1,FIRST,1,1,0,1,1,0,0.0519375070954474,0.0568075496139465,0.00487004251849914,0.00270615495996304,0.00319283048642466,0.0732834751746165,0.818181818181818,0.0982142611230262,0.954545454545455,0.0151471261758301,0.159090909090909,-0.0148528738241699,0.159090909090909,0.106744515082589
baseline,43,2,MIDDLE,0.97,1,0,1,1,0,0.0467018129511208,0.0454684961312232,-0.00123331681989752,0.0021965936518349,0.00203571993237637,0.06933378936334,0.795454545454545,0.0804198320164655,0.977272727272727,0.00934027825465097,0.159090909090909,-0.020659721745349,0.159090909090909,0.109770169743567
