scenario_name,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,rmse_ekf_late,rmse_gpr_late,delta_gpr_vs_ekf_late,mean_abs_residual_pred,rmse_v,is_gpr_improved_vs_ekf,is_gpr_worse_vs_ekf,is_selected_cycle
baseline,51,3,0.94,1,0,1,1,0,0.0192130276667594,0.0285179985712686,0.00930497090450918,NaN,NaN,NaN,0.0213915447779875,0.113327544955522,0,1,1
baseline,53,1,1,1,0,1,1,0,0.0554343797490727,0.059840587851603,0.00440620810253033,NaN,NaN,NaN,0.0198993054187055,0.109953721120864,0,1,1
baseline,53,2,0.97,1,0,1,1,0,0.0377589724571809,0.0459644348826672,0.00820546242548635,NaN,NaN,NaN,0.020538613092557,0.107123598302921,0,1,1
baseline,53,3,0.94,1,0,1,1,0,0.0279296553011085,0.0316472436646102,0.00371758836350176,NaN,NaN,NaN,0.0212373442329647,0.10832319652619,0,1,1
baseline,55,1,1,1,0,1,1,0,0.0524783639820857,0.0547755247627944,0.00229716078070871,NaN,NaN,NaN,0.0194923885776642,0.111822500640004,0,1,1
baseline,55,2,0.97,1,0,1,1,0,0.0311344140883719,0.0391975375654304,0.00806312347705851,NaN,NaN,NaN,0.0216424310138622,0.109806826469734,0,1,1
baseline,55,3,0.94,1,0,1,1,0,0.0184835114114795,0.0251829755011554,0.00669946408967593,NaN,NaN,NaN,0.020914648351457,0.106286596895335,0,1,1
baseline,57,1,1,1,0,1,1,0,0.0592833865332043,0.0623286138536251,0.00304522732042072,NaN,NaN,NaN,0.0206735714741241,0.117717389228564,0,1,1
baseline,57,2,0.97,1,0,1,1,0,0.0451526900824291,0.0482286134145914,0.00307592333216231,NaN,NaN,NaN,0.0207534943523421,0.116824776598854,0,1,1
baseline,57,3,0.94,1,0,1,1,0,0.0225683449383284,0.0310430077190623,0.00847466278073385,NaN,NaN,NaN,0.0214824820482375,0.108782399094816,0,1,1
baseline,59,1,1,1,0,1,1,0,0.0590926329524102,0.061074462445191,0.00198182949278079,NaN,NaN,NaN,0.0204477515908386,0.113182162639464,0,1,1
baseline,59,2,0.97,1,0,1,1,0,0.043747631365588,0.0465574030487184,0.00280977168313046,NaN,NaN,NaN,0.0211670341913964,0.110831171499227,0,1,1
baseline,59,3,0.94,1,0,1,1,0,0.0324584510964805,0.0320862221171926,-0.000372228979287959,NaN,NaN,NaN,0.0210152985260732,0.112163570877603,1,0,1
baseline,61,1,1,1,0,1,1,0,0.0537121992943984,0.0552729347884843,0.00156073549408582,NaN,NaN,NaN,0.0202717708540914,0.10382188994275,0,1,1
baseline,61,2,0.97,1,0,1,1,0,0.0343933941019147,0.0398510195091926,0.00545762540727782,NaN,NaN,NaN,0.0211304740058477,0.106674141187822,0,1,1
baseline,61,3,0.94,1,0,1,1,0,0.017912736746644,0.0241363803172623,0.0062236435706183,NaN,NaN,NaN,0.0223993733831163,0.113255195624521,0,1,1
baseline,63,1,1,1,0,1,1,0,0.0609918018797384,0.0596375033704043,-0.0013542985093341,NaN,NaN,NaN,0.019667994139191,0.111945495108754,1,0,1
baseline,63,2,0.97,1,0,1,1,0,0.0457496846382134,0.0456861224613332,-6.35621768802289e-05,NaN,NaN,NaN,0.0192903548958187,0.110030559832024,1,0,1
baseline,63,3,0.94,1,0,1,1,0,0.0234190338997357,0.0282688787863973,0.00484984488666161,NaN,NaN,NaN,0.0218136018918635,0.111092044716266,0,1,1
baseline,65,1,1,1,0,1,1,0,0.0540165833418878,0.0550653197922429,0.00104873645035514,NaN,NaN,NaN,0.019444521416625,0.107833194626318,0,1,1
baseline,65,2,0.97,1,0,1,1,0,0.0423784589472251,0.0413897326307569,-0.000988726316468194,NaN,NaN,NaN,0.021066123508816,0.109392594848993,1,0,1
baseline,65,3,0.94,1,0,1,1,0,0.0292049716823163,0.025721245501728,-0.00348372618058827,NaN,NaN,NaN,0.0214611922564342,0.116345838506,1,0,1
baseline,67,1,1,1,0,1,1,0,0.0591704297537092,0.0549897513669045,-0.00418067838680471,NaN,NaN,NaN,0.0214464959475973,0.111138869675764,1,0,1
baseline,67,2,0.97,1,0,1,1,0,0.0397250074040351,0.0400307734796551,0.000305766075619995,NaN,NaN,NaN,0.0194356204824843,0.109441976056965,0,1,1
baseline,67,3,0.94,1,0,1,1,0,0.0201901099994316,0.0225401357251987,0.00235002572576712,NaN,NaN,NaN,0.021918457309219,0.113118103195071,0,1,1
baseline,69,1,1,1,0,1,1,0,0.054352071512774,0.0555128532231815,0.00116078171040754,NaN,NaN,NaN,0.0208297358626137,0.121105211437464,0,1,1
baseline,69,2,0.97,1,0,1,1,0,0.0491341090899148,0.0438238111512111,-0.00531029793870377,NaN,NaN,NaN,0.0214509366838618,0.113721495064913,1,0,1
baseline,69,3,0.94,1,0,1,1,0,0.023406205160653,0.0253922890785144,0.00198608391786139,NaN,NaN,NaN,0.0215101144623474,0.110474266582173,0,1,1
baseline,71,1,1,1,0,1,1,0,0.0549595896653159,0.0534881361456703,-0.00147145351964557,NaN,NaN,NaN,0.0186378686669638,0.120073703565779,1,0,1
baseline,71,2,0.97,1,0,1,1,0,0.0320215955767046,0.0373440086041078,0.0053224130274032,NaN,NaN,NaN,0.0203057321417698,0.112661911516297,0,1,1
baseline,71,3,0.94,1,0,1,1,0,0.0209895141691319,0.021265713139283,0.000276198970151117,NaN,NaN,NaN,0.022181602454587,0.11018651994442,0,1,1
baseline,73,1,1,1,0,1,1,0,0.0443101928034464,0.0542853793253113,0.00997518652186491,NaN,NaN,NaN,0.0201262890245055,0.110356719285962,0,1,1
